rank,name,price,rating,rating_count,purchase_count,wish_count,link
49,"사계절청년농부 [모듬쌈채소] 유러피안샐러드 로메인상추 샐러드야채 산지직송 1kg, 1개",10800,4.91,886,0,435,https://cr.shopping.naver.com/adcr?x=VbYn7UxBkOdChZEeY6VCYP%2F%2F%2Fw%3D%3Dsf%2BtNXum9AzQ3GKPCtT3G%2BzglymeTl3x6HzYi6NDrMSsyeQbwViskQtBXaUX5t0fK4TEBe6Dopq74YjioxYcMDTyTjGGOVwWW0Nj9NrcoM8n8XnMEBybGtRt4SzyX6S4p9sBdEx6RVFzTuElvq0yfmES%2BortKzfQDWBF5GV%2FKfqEhJv3ljJo79VVIpj6%2Fm3WOg2JX3YUWRqHn7s5hrd%2BE6k1To32r9VL5XNz7ag7xPIgnZNdZrL8tBnJFNAze%2FEq9%2F79z44Z93INZgmBv%2BBT%2B1oVwyj%2B1KH3PV6782Hh%2BZ7%2BKx7G3krbJiQXzryuwwOqJ0Cuat14wsiT2eDvoeHkZnId%2F0HqJItpJuq9iH%2BP%2FksIaJJKDrW4EE7XwN7f89pdcjYOHmmPsPgVFUL%2FlkKZNYfpolVWvc0loGQT8wqjO%2BAaDFZi2kc%2FAZA2dMMhMPB9b7hMsQYBxEFRf5QsuKfCxXkI9pjMzsGN0SgR%2F2HvGJqh6S3SjpPIPvvnPRSKxpTPxiWIb9Xnn0rO%2FreWW897RxM9GVXC4JJyEp9h2HRryBWo7XO2EadiXVtjUphC9VhfBiblMP0x5mS06wxrbZAv33jhczRD85%2FnrsbgubYGuphcj2bhcgB5oCgd4qkOsQGVRNsZDz9Vx0ZjENF1AMJwZvM2CH3XLsxcctCAwd57SKdcpfxKgLwpUheh7GVSDyAMX8CvSG%2B8zzPJ98ctva831XYVsN%2FiAcjmtIwlTUFZwg6A%3D&nvMid=88100567155&catId=50002211
50,유러피안 채소 1kg 유러피안 샐러드 버터헤드 크리스탈 상추 쌈채소 친환경수경재배 포렛팜,8800,4.82,645,2228,530,https://cr.shopping.naver.com/adcr?x=H2x2Z3gF4xGL9dvghr7p3P%2F%2F%2Fw%3D%3DsIzQLEu9l%2F9UzJ23w2c5MJF63A5L%2F4PfEhQdZ15HT2ysyeQbwViskQtBXaUX5t0fKwozOeOltmJcdzJgXIax28jyTjGGOVwWW0Nj9NrcoM8n8XnMEBybGtRt4SzyX6S4p9sBdEx6RVFzTuElvq0yfmES%2BortKzfQDWBF5GV%2FKfqEhJv3ljJo79VVIpj6%2Fm3WONB%2FSYo23PiuSDdg3iGKGmE1To32r9VL5XNz7ag7xPIgnZNdZrL8tBnJFNAze%2FEq9%2F79z44Z93INZgmBv%2BBT%2B1oVwyj%2B1KH3PV6782Hh%2BZ7%2BKx7G3krbJiQXzryuwwOqJ6S1f7YASMldSvHcGu2vLfSPJYI5Ey0q13Xjm7SZno2rEnKVzpQ2tyWGrtmhQgeZFYqlaUv%2FGk%2B%2F1bGqSm9uJyuNIvJcSXD8lcn%2BTdmXLjFdfC603SI8YxLDjsdIKEVA9jPjB7vo9bYnFfbc23h4Bf6n6%2B434wAOePUH%2FNqxxt%2BxCxOwPXneUgLmKV%2B5KZ9PGTOu47rI3w9%2BywQoIbum5MW2ShhwmErAsIEmr1%2FgelEquwJJPmWtc%2BwwyuQlfKYm7HS1%2BzQ9RGDVUSVQ9SXrEHQ0Y58vKKbPky2zA19SMTuNDS1hOdx23a8uneDK9Bd1nw7nVm9Pv0XkMoPaUJLJ69%2Bi2ZD9MFWEpZ8QR%2FLwvtDf29uLQFfSNyQDF7Z%2BF1gLr1pQWd%2BndX%2FRp9mteG%2B0O5wN%2BQsjK6V0FLd%2Fybx7qcubNSE3OzZUT76KyqzckASmm&nvMid=88723978327&catId=50002211
51,[충주씨샵]충주 유기농 모둠 쌈채소(1kg),11600,4.78,2391,0,255,https://cr.shopping.naver.com/adcr?x=6FMTKJ%2FchtUf7njVJ6TS8v%2F%2F%2Fw%3D%3DsWGjj353LSO01Oxy4xHjzOq3sBCEvbdGgvg6AX6YUjuEqYz7nrboCYzzjBMYvm2u2KIeZCT16K6AqxDPxyC3XbWeWMwO4WR%2F1bd2e0N5X3GFfxvDocJ0PdtwVAFCOAvYfeAsFDAXNIT9BgpyL0k1ud2h9VwmppBVKMR%2B%2FuFB%2BNkln0E%2B7lsL8Xc%2FJzL4VwihdjU79VwUNnFZ7vbNFPk1nu%2BGAPKrqLwyLamLwDLpIitJxmZGIeWk6Rq6mMois02%2FdNpKdd8ZK8JeLDlaenCLCC3Nv%2FybmibrP5xKJrMikESgHs%2F2PHkpmvWjL2qy1nHubhJAS5z5EGz%2F%2BvcGWrMkQRg1Q1LD7ZxieKRS%2BBNgWzIMkcSDGkdMCpBsGEyUuV6ODK1biGx6LAPmurCVDyi8%2BqSplW96ldR2FcvHHHpd4OOcUZvcyD7fX10zQeAhXcnTBQoMTa7tmwN6kKpdU4lH1Aw8xc4qKydGO3L9eZX82eS%2FmOWh7s7rQcIrCmA8AwkWCJvAM15d%2Bdrt%2FIz%2F%2BqbDcZsfsIlX4Fp11gHfcfMEn1SvYEABp5GY01FCYguT33IExt7CM%2BR3iwauMPuhwVM7uRpOM1xySflwmtgVsJpwB1Kc01qr9RHc4l%2FXTeBildSxDxyAhEKTy%2B0Zvtn8oYxIR0Q%3D%3D&nvMid=82663370223&catId=50002211
52,유럽샐러드채소 8종 1kg/1.5kg 여름이벤트 유럽상추 신선한 로컬푸드 버터헤드상추,10000,4.97,421,0,94,https://cr.shopping.naver.com/adcr?x=yU5OCrF3ci2PNSIOGHXrGP%2F%2F%2Fw%3D%3DsC1S%2Bmu5MIZSr6TAAvRo%2FUnfRqAENPnqNNNoaYht%2B7VkqYz7nrboCYzzjBMYvm2u23%2BZurQXyEzua0ABF3UDF9GeWMwO4WR%2F1bd2e0N5X3GFfxvDocJ0PdtwVAFCOAvYfeAsFDAXNIT9BgpyL0k1ud2h9VwmppBVKMR%2B%2FuFB%2BNkln0E%2B7lsL8Xc%2FJzL4Vwihdc2Oyl8PCAQFdZ1gkivogQ%2BGAPKrqLwyLamLwDLpIitJxmZGIeWk6Rq6mMois02%2FdNpKdd8ZK8JeLDlaenCLCC3Nv%2FybmibrP5xKJrMikESgHs%2F2PHkpmvWjL2qy1nHubMcVviw3DVWgf0lXHkLjpTV4SQnM%2FAlJ5PgMsd9%2BqKIHx0te1MEb5Rky4EZoggSYdAyEIpAUMz1xGAu%2FKaChvL9EjksPWGKnw%2Fi45mLVr%2F%2B9SPxHZv3sS2sEq3bNOZ2yqT8en3Vf6GYix48RkwYKZpgGSO%2BPnNp11hAIq3U1ZjF6nDcWabXiyXz0aq3ZbWeY0Mjqgdnr9cnWYzbsBbdqSz1BhEiJMWfNizFGjZVHoGhg2LidAvzQNIK%2B%2FvxXgsFtf7YVdxiwQKoqe3PnaolwBvSiYM5yCHCY7%2FHHNXhLVFJentRRmt%2FyTmv7rDAyBjQtFO%2BAXBGLXlORLgJpYk9mra9v%2B1ca0jPbi2Jj5%2FEXh9pw2WvAJ%2Be0TcRUrwjqhdI2t%2FfmMPb8rbbQBp4%2Fns43WUAau4fTwOUqyF63FjwpQRls%3D&nvMid=86157435250&catId=50002211
53,팜포레스트 어린잎 유러피안샐러드 1kg 유럽상추 샐러드야채 채소,13900,4.76,201,817,243,https://cr.shopping.naver.com/adcr?x=rpC1Q4Q9InIhR3i4bXSImf%2F%2F%2Fw%3D%3Dst79RNhmrpcVPe729YN0fXDFIUY5V8K%2FN6ruIqQVkZYkyeQbwViskQtBXaUX5t0fK0qGWxMN74jc5SteJgxDhKTyTjGGOVwWW0Nj9NrcoM8n8XnMEBybGtRt4SzyX6S4p9sBdEx6RVFzTuElvq0yfmES%2BortKzfQDWBF5GV%2FKfqEhJv3ljJo79VVIpj6%2Fm3WOO5xEuMl6vL%2Fh1w0dWo%2BPVU1To32r9VL5XNz7ag7xPIgnZNdZrL8tBnJFNAze%2FEq9%2F79z44Z93INZgmBv%2BBT%2B1oVwyj%2B1KH3PV6782Hh%2BZ7%2BKx7G3krbJiQXzryuwwOqJdw1yXmgLcNOSxliKxpiPRqWt6VJOyUXmF8ktxkUPiB2Po726E%2Fr2VlsVuSdy0TIsnNXNLR%2BoFRHOgbnuA7hzwRk9fSN2y0N52gtS0%2BbtOwbjry%2FAyEaEHk%2F4dc6bO95VBZrIZ63uWKCjkSvXJa1UyDSttaR9RxE%2BhAapUZyx63WDPsBnawun7cZ0X%2ByY1ki4h9NFAqkZUoaPHXfMDNXvGoquNjRSBQKKB2L70d%2Ba7dkm8AzXl352u38jP%2F6psNxm%2BDvPGSUvQXMYlU2wr7cJktph0dbNxEVSEl9sY4m7d8JENaWNQZipqyjD86wQtiSBdwSuLGJZoHurUgyy3xhS0eqwS4GV13yJ2q2nFBfdB57ke%2FVP%2BgM94BPZkP5YJ%2Bex&nvMid=88807796901&catId=50002211
54,비타민채소 그린비타민 다채 샐러드야채 특수야채 이유식재료 1kg 500g,8000,4.91,116,99,74,https://cr.shopping.naver.com/adcr?x=4V%2F54lKGZ25grPbyjZMww%2F%2F%2F%2Fw%3D%3DstUEdkrvczlWcflzORP4o%2B1zeGsyO4nmOt7ShvlDSNeIqYz7nrboCYzzjBMYvm2u22PSxX4bobCGvmUpoPRY5O2eWMwO4WR%2F1bd2e0N5X3GFfxvDocJ0PdtwVAFCOAvYfeAsFDAXNIT9BgpyL0k1ud2h9VwmppBVKMR%2B%2FuFB%2BNkln0E%2B7lsL8Xc%2FJzL4VwihdUUTKgExvcxkWF4YdvdTvWeGAPKrqLwyLamLwDLpIitJxmZGIeWk6Rq6mMois02%2FdNpKdd8ZK8JeLDlaenCLCC3Nv%2FybmibrP5xKJrMikESgHs%2F2PHkpmvWjL2qy1nHubep0toh3gKUGqIaTru5Pm8s7e57AE5QU8C3dg3JEUYygiHp3BT97fPoJsOCawNqXMtr3TD0eiMWqVYVNv7kHvX9KU6vsqkFEDb%2BWfX6oThKz3vA1%2FsM0ILVYi4pCoBgtR%2By%2Bm1jzwG5uAo51AWfLMR6aVSgOdAnA0wIqBlvtkKYRDagI0Z6S%2FbR5tJguJT%2F4VaCk4Lv%2FhwE2N5RkTAEx2syeInrE3rbJiiFk9u3BICnipZAMiHOKi9vnPTXjvEpIWpoYfJt9cM%2BNgoeoB6xnprTS%2B4ljagZWkDU7P1sXsvub7XPiJJR7u5dLo6x%2BDEU2%2FGuGnFB71aZ%2BcvSc6mmFGuoIT52P0maJxXdBrWsRaIj7zp644WWpjEZbfG2bPvrGxDVCYCaeglF2rgr1u2OQIzQ%3D%3D&nvMid=82745209553&catId=50002211
55,채소팜 다채 1kg 비타민채소,6500,4.9,959,1000,100,https://cr.shopping.naver.com/adcr?x=aHQoUiYqVv4eK4%2B3xGKXl%2F%2F%2F%2Fw%3D%3Dsp3JM08vYI5udhMjT%2Bz9P1BMJ1%2BQEm3HTaeX9qnSirjcqYz7nrboCYzzjBMYvm2u26oVjRCC5687woba2h9KcEmeWMwO4WR%2F1bd2e0N5X3GFfxvDocJ0PdtwVAFCOAvYfeAsFDAXNIT9BgpyL0k1ud2h9VwmppBVKMR%2B%2FuFB%2BNkln0E%2B7lsL8Xc%2FJzL4VwihdgFJjm88JiPEDQrCYILYFQuGAPKrqLwyLamLwDLpIitJxmZGIeWk6Rq6mMois02%2FdNpKdd8ZK8JeLDlaenCLCC3Nv%2FybmibrP5xKJrMikESgHs%2F2PHkpmvWjL2qy1nHubQ49Dq7SrzDDaCwnPk9nd0eYh5jEZkpPhdXCGUAKoi57zTMZSodr25ENRl2DcC1iuK1biGx6LAPmurCVDyi8%2Bqcy9OGZxGO40zv3nMOCRzrPWdTsclAlawNp6XRbBMDEHffDjOar1uHITBvxRFeTfgM4sTwA3lFId%2FhL2jKUNFA4m8AzXl352u38jP%2F6psNxmgTjaqhYBCGAsQqh3H1%2B1FKCIEU%2BwnvsyXoyLpFnRQHAps2eb0I5Bl58CCr6aWuQd9Bzm8nwJ4YS7A8AyAx1CpPlx39wq%2B%2B0s8f%2FfjytcCS9oaKZHilHbuauHUigNM5KA&nvMid=82664548921&catId=50002211
56,"[무공해 무농약] 유러피안 샐러드 채소 500g, 1kg 유럽야채 쌈채소 로메인 버터헤드",9450,4.91,6892,0,2980,https://cr.shopping.naver.com/adcr?x=rPXFJQR1JfR8QqOOHcFJMP%2F%2F%2Fw%3D%3Dsym1HUcUH3xntjRQhhRRWwBYSqtag1Ib3BRZC6gjywswqYz7nrboCYzzjBMYvm2u2jDRBcSQO8DJDQsPbPOpBK2eWMwO4WR%2F1bd2e0N5X3GFfxvDocJ0PdtwVAFCOAvYfeAsFDAXNIT9BgpyL0k1ud2h9VwmppBVKMR%2B%2FuFB%2BNkln0E%2B7lsL8Xc%2FJzL4VwihdYQiACPFe9FEraCo%2BdEqm7uGAPKrqLwyLamLwDLpIitJxmZGIeWk6Rq6mMois02%2FdNpKdd8ZK8JeLDlaenCLCC3Nv%2FybmibrP5xKJrMikESgHs%2F2PHkpmvWjL2qy1nHub8G4lMXOae6G21n177l7VWChRtBvE04oCty%2FdRUZXp8W1T5qq68vyb7BvwKjLOAlZAyEIpAUMz1xGAu%2FKaChvL4UUdw%2FGthN%2BEDEHkjkeRZ4Ykf0mjyHVcqor3ZOKKeK1KmoKcbzav2NHaQrGcToLt%2BxqAXtYVXDLRM%2BygSzJC4I01c69E6pp5i6UDVD0%2ByExDMQHMw1bImSWxFdU0PTV0aPcJpNpZsCT5zOtBC4UaV3gxMpRoXPtcdnprHRNKdsHRlMK41F4MsNp95bzUacV2R1pO1PvHqwFCnzA5PuT6vXgDlUGIAdAvbUVJj4ovvIfim9v4ltzrmPsOBXFk5bwAeTRqDKBrym9Z9%2Fr57GYWkGBb34zsluNNVs4WSk6SIZzY7RBJx2aPv1bgiR77Jh46w1QmAmnoJRdq4K9btjkCM0%3D&nvMid=86257203916&catId=50002211
57,샐러드야채 쌈채소 1kg 로메인 그린비타민 루꼴라 쌈야채 치커리 적근대 모듬쌈 케일,10900,4.89,4942,974,236,https://cr.shopping.naver.com/adcr?x=JFmBzK4ZumWrBXjb2uoJvP%2F%2F%2Fw%3D%3DsEDPbfPMNY1TMFJ7xiY96K2SX7E4xtEz%2FshZvIjnTEJ8qYz7nrboCYzzjBMYvm2u21tW01pp0JM%2Bv6oE%2Bd8pjh2eWMwO4WR%2F1bd2e0N5X3GFfxvDocJ0PdtwVAFCOAvYfeAsFDAXNIT9BgpyL0k1ud2h9VwmppBVKMR%2B%2FuFB%2BNkln0E%2B7lsL8Xc%2FJzL4VwihdrY8axjw%2BPRJ2nfRNEP%2FH7uGAPKrqLwyLamLwDLpIitJxmZGIeWk6Rq6mMois02%2FdNpKdd8ZK8JeLDlaenCLCC3Nv%2FybmibrP5xKJrMikESgHs%2F2PHkpmvWjL2qy1nHubyjLq%2FZyqbiKSXohpAim94QA%2FvNc8pObWOah6NJs50woiHp3BT97fPoJsOCawNqXMZNwKAr3yMv4guiC63f97yzS5QPNjZ1Ralw1tTRl30m41uhBXQ620cllF9QXHF%2F09zUnzEbV%2BAfHEJ0ATMaba00rodU0pVNzp%2FNLUePiov5syosfCYCL8Mn%2BcoEqgGRnftoYPFsbJbbjf%2BOGX5hWNMkDNdYM8DjpmExaF0V3vLT7JynxW3JNWLCzbeMc6EGqGP84DLy1W%2FMNFDrSRlrxPiYOLP0fOgdYshuymHnkAH0WoxqDKvIJK1jukxQHmV3vf8S6x0O1qfQ55zm6aGqZx%2BCSuApSzDbLlGt0VhebIzV6BPlEZ9kbWoOyR1lAiXG1tOoL%2Fne9QsGQxuVUzg%2B9IXA4SwcLvxUEucVmH%2BcOht40%3D&nvMid=80330824633&catId=50002211
58,"친환경 유럽 샐러드 채소 유럽 상추 1kg , 500g 유러피안 야채 버터헤드 로메인",5400,4.9,1024,734,225,https://cr.shopping.naver.com/adcr?x=0av%2FLCB%2BjihlWNZi6J9ZX%2F%2F%2F%2Fw%3D%3Ds3peoGPn98xZjtDxxAM8m152JRoAabPPhkuLm7jwN10b9Q4b0AOOS4pgmuR1ZszYLdIeIsNbDQgP%2Bv4ZnJ17U%2FaEmci4Ek%2BabL0XVb6Q6SIqwxRSnvh60CYle50qgLYJ2ZBRRvJgFhzRdhZHKLDN8J8VIhUTYq2J1wF4XcKD2AOWkOA3ZateG%2FY8eKxwX1E0N8M%2BHwE5KGjcWGyT5gBxdZkrKJuz1c1CrKL4BlIdwUACU5P%2BT3%2BT1pMCn1t5bEwVIWwfek85jqiMNKFAQV%2BpBFt9%2BKy%2Fm0d%2BgYWHtEf61Jo4AUk0tbEb%2BPaAR8Zvsauh4LinMzGJNg6eNBAh11si5QkVjRHjYe7%2FpGn%2BSbeJsa8EI2YS92VTPP7KXRs5j1QyAeKbCxfTxxV8h%2FWVNQ2gMwplehGaKbmK0AeBhp8f%2BsFxloXP6vb6yCdPrR0BWjwPrrT52zdqB1VmDVkhiVvIGmD4BuoFJm6ku8nJCTnEl0WyrBayJbmrTODhNb4QNJXCaQPypOV0KbDpsKNL8B4srGTxYo8S40TrCBcgFY8K%2BPQEeUVlNuoC245MykrbWr5gJncIRGcBN0Jvwq10AvQTrRjNheAUgaxoKPbZCc5GrzEhM0%2BD2at2eRhFJxqreLVyxIybJPWWEExE2tANc6wExy1TRg1%2Ba8rxJy0%2BXIAkeJiuscd%2BOxvgVI5ej351vM%2F3KgqgOvq6z5EpEI5N2xav1Mg%3D%3D&nvMid=86983794411&catId=50002211
59,라라라채소밭 모듬쌈 1kg 7종이상 쌈용 샐러드용,13000,4.96,1426,0,1850,https://cr.shopping.naver.com/adcr?x=zK2Gn4q4ab506cjYjIg8n%2F%2F%2F%2Fw%3D%3DsNjFItSi3ZYDNDeYPLn1a2Xy9U11ez1PAcI3R8AOIg1v9Q4b0AOOS4pgmuR1ZszYLOU5I5iXU%2BEMyYcDfjYxdK6Emci4Ek%2BabL0XVb6Q6SIqwxRSnvh60CYle50qgLYJ2ZBRRvJgFhzRdhZHKLDN8J8VIhUTYq2J1wF4XcKD2AOWkOA3ZateG%2FY8eKxwX1E0N2LXID0UI%2FcsdwYBOAQkRokrKJuz1c1CrKL4BlIdwUACU5P%2BT3%2BT1pMCn1t5bEwVIWwfek85jqiMNKFAQV%2BpBFt9%2BKy%2Fm0d%2BgYWHtEf61Jo4AUk0tbEb%2BPaAR8Zvsauh4YwMehnBUmEbWUPWwXz%2FD0fE3nktAI52cJHEaBo%2BIAL0I2YS92VTPP7KXRs5j1QyAlvbTn%2F4EqP6GHjTGdj7h%2FjEfebK5SmVsEtgngFGkd0Ip4CUGwGP%2FQeR9JppSkwlZmUZr4PEgIX7jfvUgJS5vzVWLGPr9P7GjHfk7h4FEd%2FoZD%2FUAMGPn3T%2BA1JiYjfy%2Ft7%2BP1v0tZj7eg02g94VvhZKT8xTkX28JXJjP6N5kAg14jIsXd8AahAk8QsWQmLprZg%2Bn1gOjjVGZHVAa13oHgSn44B1B%2FDx%2Fb%2B0ahNw8gCDJK3%2BOH%2F1n6vQc%2F0tJ%2B5Ubb1NmOoRBMBsXNQGXzjfbC%2BFUQB%2FrDAzm2q1KHRsHkfE%3D&nvMid=82789981485&catId=50002211
60,무농약 친환경 산지직송 유러피안 샐러드야채 모듬쌈 채소 1kg 바타비아 크리스탈 버터헤드 로메인,7200,4.67,1523,0,5,https://cr.shopping.naver.com/adcr?x=oiOF67E7De1nDzdz9K7rDP%2F%2F%2Fw%3D%3Ds1M8Z8vn%2BN5gY7k3%2BuIKYk6LIhoIMEEg0A1kwR0IH61UyeQbwViskQtBXaUX5t0fKheb6k5jxpDVd%2BflKsjrZ%2FzyTjGGOVwWW0Nj9NrcoM8n8XnMEBybGtRt4SzyX6S4psxoduIAB%2F0H%2FMRSWShOO4OS56xq6tUtZHChr42I36lxAxtpyC0LA90lBLEL18lFbAHvcRgl%2FJAf8BVh0k4lYpV9P2JRl36aMfFC99Q0ZhUg07AySuwOk5UbB4irf2hqUJyU8I4PXjLGS1MuxbXg2Y6PxycAU8NZf7PdTum0uClt0gVakSBpfCgo6HJJ4HFOPsQMhll98L6682Au7Zj6fy%2F4Oit9u1fKdKpCYRa%2FBbrs1QmeK3ZPITzKHcbEnR%2BI82b1k4iQ4%2BJVYB38NrJrv%2FAvrGxln0pbutpYbklRVPMkv%2BeCYhB%2FfcIstaTBxlkWm5sG1VmyvPjsWbUz79PTe3M3zVaNSnElUms3mYOzPgGkb4YnUV2jnplhTgQ7LePQdomSXVWOHtY0aCy7vC1IZgDJWNqRRZn6cvLRb8NerJQbw5QifpkI5eEE6xL3yElyNvB8YM652gh%2Fd%2FtVvskXoCBIRMFe5RHye3AHbs8stqj5xHj3sHnyMski%2F6Z7u6vJ8eGw3jsFLi5CUsaoNUzQppjyLVCcLktgLNeU%2Fe3l%2FI8nR4LNp7P3AwbNSTvwi9Tm272uMLfJQfH31yT8WcODnMD9vKkr%2BLH0OyDIZW1C9woAKhhKkpw5mDqgl9ntaRIVv%2FOxytkwIPRkmAD5OckyzN8tVYavx%2B%2B8fWZa9SBc8rqM%3D&nvMid=53154055780&catId=50002211
61,[ 바른농산 ] 국내산 쌈추 쌈배추 쌈채소 2kg,13250,4.87,47,0,94,https://cr.shopping.naver.com/adcr?x=zgzpFzI0lQaqvNBctrK7Nf%2F%2F%2Fw%3D%3DsxmXy2ufZgh%2BlIZSccbtLgO7QcQ9AzFqfhO%2F%2FbYx17UgqYz7nrboCYzzjBMYvm2u2EEZz%2FzSYD6D1uqmlYUctzmeWMwO4WR%2F1bd2e0N5X3GFfxvDocJ0PdtwVAFCOAvYfeAsFDAXNIT9BgpyL0k1ud2h9VwmppBVKMR%2B%2FuFB%2BNkln0E%2B7lsL8Xc%2FJzL4VwihdMidQKBaa33ON7wDmDY0ygxdWtBmrgRvrbxBRoSYh1geDvowP89LMjdrqfGBzm9Lus8ooIkZ%2FOLtNQuqbmrsbFD89lBJpLtqrwGKUZonCyELBz7%2BORHa%2BX777%2F5U82WuFRDpykpOqWZgZqWcBmVwRDY%2FhGcFTi%2FVNv4wBrh1NXKkqrU3x0tS6rkyK4hZ7pDwgGOLBW%2FD9ts2q4bF0lnF7oy2ZWZbAIkbX6TG6%2BKJPRKmdfU2RJt0TDDG8A1lwIXcJ6PagEDAEebtHT%2BWDGl%2BhDCc0qjlXpHOp2qWduhgK%2F8Cah%2BVNmIbeskcWsqUnY2B2kvlRSKyvC1Y1JvURKtp126Ob7kECVw%2BixmsmKvDq3iLbYPoH0VRQ1hbTohi%2BLJ%2FkzAfc3r2zOhukrsQWC2uKVBd5g07z6XVKKQv0LB1aul7aoxe9slwbWhS8IbMNpv0DcA6coFwKNzLSbItisqauQEHQIiXcF4qwUXZ2sX76wW8%3D&nvMid=88716190895&catId=50002211
62,"친환경 샐러드채소 1kg,500g 아쿠아포닉스 무농약 유럽샐러드 유러피안 모듬 야채 쌈채소",9800,4.96,125,0,96,https://cr.shopping.naver.com/adcr?x=zDoL%2B67B0ysdD6Eyv9gru%2F%2F%2F%2Fw%3D%3DsHKAmiYwvocUzdHUo%2FzLX1HORAOw9OVZeT%2BZlZkXLYX4yeQbwViskQtBXaUX5t0fKXAtxGWA%2FqRQfltdkXePjRTyTjGGOVwWW0Nj9NrcoM8n8XnMEBybGtRt4SzyX6S4p9sBdEx6RVFzTuElvq0yfmES%2BortKzfQDWBF5GV%2FKfqEhJv3ljJo79VVIpj6%2Fm3WO8Zkgs8ryRsr4%2FFhjJZTfM01To32r9VL5XNz7ag7xPIgnZNdZrL8tBnJFNAze%2FEq9%2F79z44Z93INZgmBv%2BBT%2B1oVwyj%2B1KH3PV6782Hh%2BZ7%2BKx7G3krbJiQXzryuwwOqJP008psaaHGV%2BqDmXgfm14yKthuThuLF59oQXmvU5djHEnKVzpQ2tyWGrtmhQgeZFrOW7Msfn6uKQtZx3ZkeFi4c1NLaokzTkYcgf%2Bf%2FDSja2gZdYH8%2FmAHSA%2B3BENB5sCi7ffzUJmOvICHeEc9cC7A0s4xfVpjx%2BvMvVn3tuWYmuK4vYc1Yu9d59WsjeFyGk0P3BTBV0l8lqTy9k3j7fhvCjJhgSvbTYhXTVvlAKsotwzm85IA3P4%2F4u%2FuxDYWtSrHrGc4rNGlMklX4FMJxJqm9iYBeK4t12KcKuco5Aa6d4dH7MVOBKfbKi8TTVxAyvoIgRT7Ce%2BzJejIukWdFAcHomph0KiPW4%2BRdC7Fh2w9WBdFd2mMfY5ulUKt7qRAeC2XYTvFH0guih9ClplwlqXM2OqH9l6YII5ugOGfB4CYY%3D&nvMid=89023980873&catId=50002211
63,유럽 샐러드 채소 야채 포기채소혼합 1kg 로메인상추 버터헤드 등 모듬채소,6900,4.88,698,1249,728,https://cr.shopping.naver.com/adcr?x=8QQSH60AEDYdPjNqKCurB%2F%2F%2F%2Fw%3D%3Dss1d8VdpW2AOIc%2BHvRDAQ3x9Rm8%2BZhXzNCsdKEdpsYtAyeQbwViskQtBXaUX5t0fKUnJdcnjKUd5Y0H7D2t2t6DyTjGGOVwWW0Nj9NrcoM8n8XnMEBybGtRt4SzyX6S4p9sBdEx6RVFzTuElvq0yfmES%2BortKzfQDWBF5GV%2FKfqEhJv3ljJo79VVIpj6%2Fm3WOJ%2Bzp75B2su0jCYC7WUbTrUsKyriRXY5yOYoMUgru25Cji%2Bapx%2FN5Tm9iNMRx4APemRUWhlsR5slqvlZG8COnM3qEMfRxZhz%2BL5VxURJqQOglXTdy6Sn%2F2yromYu89VyU0DJJDRwq1wwcMmUjmKLyNKfaCkmrPnZegW2QkSNB%2F2ePo726E%2Fr2VlsVuSdy0TIsEVlWWdbZADHPemT50rQZuCPrZJK3%2FITJBSJ105yVBMiWgmCWnBfEGVr4zGC6Dfhjjbz9g2ZTLzGBNmWkE0Pk3y6xQrq8fGB1mvNd4iFvqxbtJKu%2B1LnCXbaVbX5VspUEKXSWXnE3NPpLRCYeQNdBQAU8vimUUk3EvqPL0P%2FOiVwhc0w4lNQiFyRuvP78E3VE7JdHzhD1tunbpatEf0EvFUz%2F6peVH1JPmc2UjSpddPPxLrHQ7Wp9DnnObpoapnH4hRmD5Vyz6B%2BSSffEIFjP8SYnu%2BfqJdryzcVhSfLMNkTXNY5phs1zgKsk7TjMfM1ZDhLBwu%2FFQS5xWYf5w6G3jQ%3D%3D&nvMid=85793582314&catId=50002211
